posted,neighborhood,post title,number bedrooms,sqft,URL,price
2022-03-11 10:53:00,376 Aphelion Cr,Newly Built End Unit Townhome - 4Bed/2.5Bath - Barrhaven ($2200),4.0,1850.0,https://ottawa.craigslist.org/apa/d/nepean-newly-built-end-unit-townhome/7455908827.html,2200
2022-03-11 10:29:00,555 Gilmour Street,Large 2BR+Den Heritage Style with private balcony in Centretown,2.0,1000.0,https://ottawa.craigslist.org/apa/d/ottawa-large-2brden-heritage-style-with/7456823336.html,1645
2022-03-11 08:59:00,Aylmer,"83 porc-épic, NOUVELLE maison duplex 3 chambres – Dispo 1er Avril 2022",3.0,,https://ottawa.craigslist.org/apa/d/aylmer-north-83-porc-pic-nouvelle/7455080065.html,2195
2022-03-11 08:59:00,Secteur Des Tremble,42 Impasse des Lilas #8 condo 3 Chambres 1er Juin 2022,3.0,1200.0,https://ottawa.craigslist.org/apa/d/hull-southwest-42-impasse-des-lilas/7455083175.html,1695
2022-03-11 08:59:00,Alymer,310 Maurice-Martel – MAISON 4 chambres (Aylmer) Dispo maintenant!,4.0,,https://ottawa.craigslist.org/apa/d/aylmer-north-310-maurice-martel-maison/7455086560.html,2295
2022-03-11 08:59:00,Aylmer,"rue de Bruxelles ,condo 1 chambre disponible 1er avril 2022",1.0,,https://ottawa.craigslist.org/apa/d/aylmer-north-rue-de-bruxelles-condo/7455100386.html,1095
2022-03-11 08:59:00,Ottawa,949 Bronson- House – 3 bedrooms – Available May 1st 2022,3.0,,https://ottawa.craigslist.org/apa/d/ottawa-949-bronson-house-bedrooms/7455193143.html,2595
2022-03-11 08:31:00,Ottawa,Brand New Condo for rent - Clairdge Ottawa - Icon,1.0,730.0,https://ottawa.craigslist.org/apa/d/ottawa-brand-new-condo-for-rent/7456772668.html,2100
2022-03-10 21:35:00,"Hintonburg, Ottawa",Bright and Spacious Condo Available April 15 or May 1,1.0,664.0,https://ottawa.craigslist.org/apa/d/ottawa-bright-and-spacious-condo/7456684334.html,1800
2022-03-10 19:14:00,,"3BR & 1Bath, BSMT APT, May 1, 2min to Algonquin, 20min to Carleton, st",3.0,1000.0,https://ottawa.craigslist.org/apa/d/nepean-3br-1bath-bsmt-apt-may-2min-to/7452565075.html,1737
2022-03-10 15:48:00,"67 Marquette Ave., Ottawa",BEECHWOOD VILLAGE-1 MONTH FREE-$50/MONTH DISCOUNT-5 APPLIANCE-AIR-ASAP,1.0,,https://ottawa.craigslist.org/apa/d/vanier-beechwood-village-month-free-50/7456550340.html,1350
